Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram_in_GB,Gpu,OpSys,Weight,Price_rupees,Memory_type,Memory_in_GB
HP,EliteBook 850,Ultrabook,15.6,1920x1080,Intel,8,Intel HD,Windows 7,1.88,198169,SSD,256
Others,Others,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Others,1.37,179762,SSD,512
Others,Others,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Others,3.2,136784,SSD +  1TB HDD,256
Toshiba,Tecra Z40-C-161,Ultrabook,14.0,1920x1080,Intel,16,Nvidia GeForce,Windows 10,1.47,160965,SSD,512
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.2,29565,HDD,500
Dell,Vostro 3568,Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,2.18,59951,HDD,1000
HP,Noteb Pav,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.91,89334,HDD,1000
Toshiba,Tecra A40-C-1KF,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.75,83494,HDD,500
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,8,Intel UHD,Windows 10,1.23,127659,SSD,256
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,3200x1800,Intel,8,Intel HD,Windows 10,1.3,109409,SSD,256
Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.64,107584,SSD,256
Others,Others,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Others,2.7,109409,SSD +  1TB HDD,256
Lenovo,320-15ISK (i3-6006U/4GB/1TB/GeForce,Notebook,15.6,1920x1080,Intel,4,Nvidia GeForce,Windows 10,2.2,42705,HDD,1000
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.63,27284,Flash Storage,32
Toshiba,Tecra X40-D-10Z,Ultrabook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.25,99462,SSD,128
Others,Others,Workstation,15.6,1920x1080,Intel,8,Nvidia Quadro,Others,2.59,203396,SSD,256
Others,Others,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.65,86596,Hybrid,1000
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.29,44712,HDD,500
Asus,Chromebook Flip,2 in 1 Convertible,12.5,1920x1080,Intel,8,Intel HD,Chrome OS,1.2,105759,Flash Storage,64
Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel,4,Intel HD,Windows 10,1.6,59769,SSD,128
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Linux,2.5,80209,SSD,256
HP,ProBook 650,Workstation,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.31,139978,SSD,512
Others,Others,2 in 1 Convertible,15.6,1920x1080,Intel,4,Intel HD,Others,2.08,72634,HDD,1000
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.7,89151,SSD,256
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,1.86,38234,SSD,128
MSI,GP62M 7RDX,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.4,104280,SSD +  1TB HDD,128
Toshiba,Tecra Z50-C-140,Notebook,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.4,180219,SSD,256
Dell,Latitude 3480,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.76,53381,HDD,500
Lenovo,ThinkPad Yoga,Netbook,12.5,1920x1080,Intel,16,Intel HD,Windows 10,1.3,150562,SSD,512
HP,ZBook Studio,Workstation,15.6,1920x1080,Intel,8,Nvidia Quadro,Windows 7,2.0,173284,SSD,256
Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Intel,8,AMD Radeon,Windows 10,1.9,60499,HDD,1000
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.4,33014,HDD,500
HP,ProBook 650,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,2.31,108496,HDD,500
Dell,XPS 15,Notebook,15.6,3840x2160,Intel,8,Nvidia GeForce,Windows 10,2.06,159596,SSD,256
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.2,53746,SSD,128
HP,EliteBook 850,Ultrabook,15.6,1920x1080,Intel,8,AMD Radeon,Windows 10,1.84,118350,SSD,256
HP,EliteBook 840,Notebook,14.0,1920x1080,Intel,4,Intel HD,Windows 10,1.54,91250,HDD,500
Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.2,66521,SSD,512
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.98,87691,HDD,1000
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.2,29382,HDD,1000
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.1,54932,HDD,500
Others,Others,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.2,99371,SSD +  1TB HDD,128
Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel,8,Nvidia GeForce,Linux,1.64,99371,SSD,256
HP,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,AMD,4,AMD Radeon,Windows 10,2.1,36318,HDD,1000
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.04,51009,HDD,1000
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Linux,2.14,67075,SSD,256
Dell,Inspiron 7579,2 in 1 Convertible,15.6,1920x1080,Intel,12,Intel HD,Windows 10,2.19,118534,SSD,512
Asus,Rog GL702VM-GC354T,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.7,145909,SSD +  1TB HDD,256
Lenovo,ThinkPad L460,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.9,97820,SSD,256
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,2.2,31390,HDD,500
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel,8,Intel Iris,macOS,1.37,129484,SSD,256
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel,8,Intel HD,macOS,0.92,115194,SSD,256
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.1,119994,SSD,256
Others,Others,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel UHD,Others,1.55,60134,HDD,1000
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,No OS,2.4,79296,SSD,256
HP,EliteBook 850,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Windows 10,1.84,123096,SSD,256
Acer,Nitro AN515-51,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,77198,SSD,256
HP,Omen 17-an012dx,Gaming,17.3,1920x1080,Intel,12,AMD Radeon,Windows 10,3.74,159596,HDD,1000
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.18,53527,HDD,1000
HP,Probook 470,Notebook,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.5,115979,SSD,512
Asus,Zenbook UX510UW-FI095T,Notebook,15.6,3840x2160,Intel,8,Nvidia GeForce,Windows 10,2.0,118534,SSD +  1TB HDD,256
HP,EliteBook 1040,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.43,136875,SSD,256
HP,Pavilion X360,2 in 1 Convertible,13.3,1366x768,Intel,8,Intel HD,Windows 10,1.58,76340,SSD,256
Others,Others,Ultrabook,13.3,2560x1600,Intel,8,Intel Iris,Others,1.37,178750,SSD,512
Lenovo,Thinkpad T560,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.3,139521,SSD,256
HP,250 G4,Notebook,15.6,1366x768,Intel,4,Intel HD,No OS,2.1,43525,HDD,500
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel,8,Intel HD,Windows 10,1.42,212612,SSD,256
Others,Others,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Others,2.2,68347,SSD,256
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.3,94352,SSD,256
Others,Others,2 in 1 Convertible,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.0,155034,SSD,512
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,4,Intel HD,No OS,2.2,32849,HDD,1000
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel,16,AMD Radeon,macOS,1.83,231542,SSD,512
Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,1366x768,Intel,2,Intel HD,Windows 10,1.5,20896,Flash Storage,64
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel,8,Intel HD,Windows 10,1.36,149376,SSD,256
HP,Probook 440,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.64,71084,HDD,500
HP,EliteBook 840,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.54,133955,SSD,512
HP,EliteBook 820,Ultrabook,12.5,1920x1080,Intel,4,Intel HD,Windows 10,1.26,144084,HDD,500
HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel,6,AMD Radeon,Windows 10,2.19,69715,HDD,1000
HP,EliteBook 840,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.48,190621,SSD,512
HP,250 G5,Notebook,15.6,1366x768,Intel,4,Intel HD,No OS,1.96,45534,HDD,500
Dell,Inspiron 7567,Gaming,15.6,3840x2160,Intel,8,Nvidia GeForce,Windows 10,2.62,136692,SSD +  1TB HDD,128
Dell,Alienware 15,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,3.21,187154,SSD +  1TB HDD,128
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel,8,AMD Radeon,Windows 10,1.4,87144,SSD,256
Asus,Rog GL702VM-GC017T,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.73,164159,SSD +  1TB HDD,512
Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,11.6,1366x768,Intel,4,Intel HD,Chrome OS,1.25,34584,Flash Storage,32
Lenovo,Thinkpad P51s,Workstation,15.6,3840x2160,Intel,16,Nvidia Quadro,Windows 10,2.5,301034,SSD,1000
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,AMD,6,AMD Radeon,Windows 10,2.2,50096,SSD,256
Lenovo,Thinkpad P50,Notebook,15.6,3840x2160,Intel,16,Nvidia Quadro,Windows 7,2.5,216262,SSD,512
Lenovo,ThinkPad L570,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.38,96269,HDD,500
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,8,Intel UHD,Windows 10,1.21,148646,SSD,256
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,4,Intel HD,No OS,2.2,29382,HDD,1000
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,6,Intel HD,Windows 10,2.3,41884,HDD,1000
Dell,Alienware 17,Gaming,17.3,3840x2160,Intel,32,Nvidia GeForce,Windows 10,4.42,287198,SSD +  1TB HDD,512
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Linux,1.98,81670,SSD,256
HP,Probook 470,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,95356,SSD,256
Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.62,89881,SSD,256
Others,Others,Notebook,14.0,1366x768,Intel,4,Intel HD,Others,1.75,83494,HDD,500
HP,ProBook 430,Notebook,13.3,1920x1080,Intel,4,Intel UHD,Windows 10,1.49,61594,HDD,500
HP,ProBook 470,Notebook,17.3,1600x900,Intel,8,Nvidia GeForce,Windows 10,2.63,83038,HDD,1000
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.18,47620,HDD,1000
Lenovo,Chromebook N23,Netbook,11.6,1366x768,Intel,4,Intel HD,Chrome OS,1.25,24181,SSD,16
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel,12,Nvidia GeForce,Linux,3.0,86596,HDD,1000
Lenovo,IdeaPad 510-15ISK,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.2,61046,HDD,1000
Others,Others,Notebook,17.3,1600x900,Intel,6,Nvidia GeForce,Others,2.8,78384,SSD +  1TB HDD,128
Lenovo,ThinkPad T470p,Ultrabook,14.0,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.96,173649,SSD,256
Lenovo,IdeaPad Y900-17ISK,Gaming,17.3,1920x1080,Intel,32,Nvidia GeForce,Windows 10,4.6,295650,SSD +  1.0TB Hybrid,512
Others,Others,Ultrabook,12.5,1920x1080,Intel,16,Intel HD,Others,1.36,164068,SSD,512
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.3,74734,SSD +  1TB HDD,128
Others,Others,Notebook,15.6,1920x1080,Intel,8,Intel HD,Others,1.9,107584,SSD,256
HP,EliteBook 840,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 7,1.54,170638,SSD,512
HP,Omen 17-AN010nv,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,3.78,136692,SSD +  1TB HDD,256
Razer,Blade Stealth,Ultrabook,12.5,3840x2160,Intel,16,Intel HD,Windows 10,1.29,164159,SSD,512
MSI,GS63VR 6RF,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,1.8,176021,SSD +  1TB HDD,256
Others,Others,Notebook,13.3,1920x1080,Intel,4,Intel HD,Others,1.35,23269,Flash Storage,32
Asus,Rog G752VL-UH71T,Gaming,17.3,1920x1080,Intel,24,Nvidia GeForce,Windows 10,4.33,115796,SSD +  1TB HDD,256
Dell,Alienware 17,Gaming,17.3,3840x2160,Intel,16,Nvidia GeForce,Windows 10,4.36,287802,SSD +  1TB HDD,512
Toshiba,Satellite Pro,Notebook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.5,88786,SSD,256
Dell,Precision 3510,Workstation,15.6,1920x1080,Intel,8,AMD FirePro,Windows 10,2.23,124921,HDD,500
Mediacom,SmartBook 141,Notebook,14.0,1920x1080,Intel,4,Intel HD,Windows 10,1.4,22721,SSD,32
HP,ProBook 430,Notebook,13.3,1920x1080,Intel,8,Intel UHD,Windows 10,1.49,87509,SSD,512
Others,Others,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.4,73821,SSD +  1TB HDD,128
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,6,Nvidia GeForce,Windows 10,2.8,78384,SSD +  1TB HDD,128
Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel,4,Nvidia GeForce,Windows 10,2.23,56210,HDD,1000
Others,Others,Notebook,15.6,1920x1080,Intel,16,AMD Radeon,Others,2.36,82034,SSD,256
HP,15-ba043na (A12-9700P/8GB/2TB/W10),Notebook,15.6,1366x768,AMD,8,AMD Radeon,Windows 10,2.04,57396,HDD,2000
Dell,Precision 7520,Workstation,15.6,3840x2160,Intel,16,Nvidia Quadro,Windows 10,2.8,278769,SSD +  1TB HDD,256
LG,Gram 15Z970,Ultrabook,15.6,1920x1080,Intel,16,Intel HD,Windows 10,1.08,191534,SSD,512
Dell,Inspiron 5579,2 in 1 Convertible,15.6,1920x1080,Intel,8,Intel UHD,Windows 10,2.67,72909,SSD,256
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,1.9,50096,HDD,1000
Dell,Alienware 17,Gaming,17.3,1920x1080,Intel,32,Nvidia GeForce,Windows 10,4.42,287346,SSD +  1TB HDD,256
Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel,4,Intel HD,Windows 10,1.44,67069,SSD,180
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Linux,2.4,64696,HDD,1000
Others,Others,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Others,2.0,67434,SSD,256
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD,4,AMD Radeon,Windows 10,2.2,27284,HDD,500
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,1.9,41062,HDD,500
HP,ProBook x360,2 in 1 Convertible,11.6,1366x768,Intel,4,Intel HD,Windows 10,1.45,70719,SSD,256
Asus,ZenBook UX310UA-WB71,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.45,116800,SSD,256
MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.43,223471,SSD +  2TB HDD,256
Samsung,Notebook Odyssey,Notebook,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.5,155034,SSD +  1TB HDD,128
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,3.0,85592,SSD +  1TB HDD,128
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel,6,AMD Radeon,Windows 10,2.04,49184,HDD,1000
Dell,Latitude E5270,Ultrabook,12.5,1366x768,Intel,4,Intel HD,Windows 7,1.5,103582,HDD,500
Lenovo,IdeaPad Y900-17ISK,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,4.6,250937,SSD +  1.0TB Hybrid,256
Lenovo,IdeaPad 320-14IAP,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,2.1,27284,HDD,500
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel,4,Intel HD,Windows 10 S,1.252,90246,SSD,128
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Windows 10,2.1,104436,SSD +  1TB HDD,256
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.24,67251,HDD,500
HP,Spectre Pro,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.16,179671,SSD,512
Others,Others,Notebook,15.6,1920x1080,Intel,8,Intel HD,Others,2.18,68438,SSD,256
Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,3.2,136784,SSD +  1TB HDD,256
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.18,53527,HDD,1000
Dell,Alienware 15,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,3.21,253185,SSD +  1TB HDD,256
Asus,ROG GL553VE-FY022,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,No OS,2.5,106671,HDD,1000
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,3200x1800,Intel,16,Intel HD,Windows 10,1.3,136784,SSD,512
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,2.0,121728,SSD +  1TB HDD,256
Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel,4,Intel HD,Windows 10,1.44,80391,SSD,128
Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.4,128024,SSD,512
Dell,Inspiron 3168,2 in 1 Convertible,11.6,1366x768,Intel,4,Intel HD,Windows 10,1.47,43709,HDD,500
Others,Others,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Others,2.33,77015,SSD +  1TB HDD,128
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,91159,SSD,256
HP,15-bw002nv (A6-9220/4GB/256GB/Radeon,Notebook,15.6,1920x1080,AMD,4,AMD Radeon,Windows 10,1.91,43699,SSD,256
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,AMD,4,AMD Radeon,Windows 10,2.1,31846,HDD,500
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD,4,AMD Radeon,Windows 10,2.19,27192,HDD,500
Lenovo,V110-15ISK (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1366x768,Intel,4,AMD Radeon,No OS,1.9,33580,HDD,1000
Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.62,100284,HDD,1000
Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,1920x1080,Intel,4,Intel HD,Windows 10,1.7,63784,SSD,256
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel,4,Intel HD,Windows 10,2.8,44621,HDD,1000
Dell,Inspiron 5368,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.62,72818,SSD,256
Lenovo,ThinkPad T560,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.3,123096,SSD,256
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Linux,2.2,68347,SSD,256
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.4,37486,HDD,500
Asus,VivoBook Pro,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.1,104481,SSD +  1TB HDD,128
Samsung,Notebook 9,Ultrabook,15.0,1920x1080,Intel,16,Nvidia GeForce,Windows 10,1.23,168721,SSD,256
Lenovo,ThinkPad X1,Ultrabook,14.0,1920x1080,Intel,16,Intel HD,Windows 10,1.14,223562,SSD,512
Lenovo,IdeaPad 500-15ISK,Notebook,15.6,1920x1080,Intel,16,AMD Radeon,Windows 10,2.5,100284,Hybrid,1000
Asus,ZenBook UX430UA,Ultrabook,14.0,1920x1080,Intel,8,Intel UHD,Windows 10,1.25,100284,SSD,256
Others,Others,Notebook,17.3,1920x1080,Intel,8,Intel UHD,Others,2.5,84680,SSD,256
HP,Probook 470,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,92892,HDD,1000
Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,1.8,180949,SSD,512
HP,ZBook 15u,Workstation,15.6,1920x1080,Intel,8,AMD FirePro,Windows 7,1.9,136419,SSD,256
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1920x1080,AMD,4,AMD Radeon,Windows 10,2.1,44621,HDD,1000
HP,ProBook 640,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.95,104846,HDD,500
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel,4,Intel HD,Android,0.69,50096,Flash Storage,64
Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.37,36408,HDD,1000
Others,Others,2 in 1 Convertible,14.0,2560x1440,Intel,16,Intel HD,Others,2.8,222650,SSD,512
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.0,72361,SSD,128
Lenovo,Thinkpad T570,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,1.95,100101,SSD,256
HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,Intel,8,Intel UHD,Windows 10,1.29,182409,SSD,512
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.2,95174,SSD,256
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,1920x1080,Intel,8,Intel UHD,Windows 10,1.4,145909,SSD,256
Asus,Rog GL553VE-DS74,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.5,164159,SSD +  1TB HDD,256
MSI,Laptop MSI,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,4.14,200659,SSD +  1TB HDD,128
HP,Stream 11-Y000na,Netbook,11.6,1366x768,Intel,2,Intel HD,Windows 10,1.17,19071,Flash Storage,32
Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.62,109409,HDD,1000
